036.wav,,Angry,Fair,,,Same speaker
036.wav,,Angry,,Excellent,,Same speaker
036.wav,Neutral,,Good,,,Same speaker
037.wav,Sad,,Bad,,,Hard to say
037.wav,Angry,,,Fair,Same speaker,
037.wav,Angry,,Bad,,,Same speaker
037.wav,Neutral,,,Fair,Same speaker,
037.wav,Neutral,,Noisy,,,Hard to say
037.wav,,Angry,,Bad,,Same speaker
037.wav,Angry,,Good,,,Same speaker
037.wav,Neutral,,Fair,,,Similar speaker
037.wav,Sad,,Fair,,,Hard to say
037.wav,Angry,,,Bad,Same speaker,
038.wav,Happy,,Fair,,,Hard to say
038.wav,Angry,,Fair,,,Same speaker
038.wav,,Angry,,Bad,,Different speakers
038.wav,,Sad,,Bad,,Same speaker
038.wav,Neutral,,Bad,,,Same speaker
038.wav,Sad,,Bad,,,Hard to say
038.wav,Angry,,Noisy,,,Different speakers
038.wav,Neutral,,,Bad,Same speaker,
038.wav,Neutral,,Fair,,,Same speaker
038.wav,Neutral,,,Bad,Hard to say,
039.wav,Neutral,,Good,,,Similar speaker
039.wav,,Angry,,Fair,,Same speaker
039.wav,Neutral,,Bad,,,Hard to say
039.wav,Angry,,Bad,,,Same speaker
039.wav,Neutral,,Bad,,,Same speaker
039.wav,Neutral,,Bad,,,Same speaker
039.wav,,Happy,Fair,,,Hard to say
039.wav,Angry,,Noisy,,,Same speaker
039.wav,Angry,,Bad,,,Same speaker
039.wav,Angry,,Bad,,,Same speaker
040.wav,Sad,,Bad,,,Hard to say
040.wav,Happy,,Excellent,,,Similar speaker
040.wav,Angry,,Fair,,,Similar speaker
040.wav,Neutral,,Bad,,,Same speaker
040.wav,Happy,,Noisy,,,Different speakers
040.wav,Happy,,Noisy,,,Same speaker
040.wav,Neutral,,Noisy,,,Same speaker
040.wav,,Happy,,Bad,,Same speaker
040.wav,Angry,,Fair,,,Different speakers
040.wav,Neutral,,,Bad,Same speaker,
041.wav,Angry,,Bad,,,Different speakers
041.wav,Happy,,Fair,,,Hard to say
041.wav,Angry,,Good,,,Hard to say
041.wav,Angry,,,Bad,Different speakers,
041.wav,Angry,,Fair,,,Same speaker
041.wav,Angry,,Noisy,,,Same speaker
041.wav,Happy,,Fair,,,Similar speaker
041.wav,Angry,,Fair,,,Similar speaker
041.wav,Angry,,Noisy,,,Same speaker
041.wav,Neutral,,Fair,,,Similar speaker
042.wav,Sad,,Bad,,,Similar speaker
042.wav,Sad,,Bad,,,Same speaker
042.wav,Sad,,Good,,,Same speaker
042.wav,Happy,,Fair,,,Similar speaker
042.wav,Neutral,,Bad,,,Same speaker
042.wav,Neutral,,,Fair,Same speaker,
042.wav,,Angry,,Good,,Same speaker
042.wav,Sad,,Good,,,Same speaker
042.wav,Angry,,Fair,,,Same speaker
042.wav,Happy,,Fair,,,Similar speaker
043.wav,Neutral,,Fair,,,Hard to say
043.wav,Happy,,Good,,,Similar speaker
